Order ID,Order Date,Customer ID,Type,SKU,Category,Product Name,Unit Price,Qty,Total,Discount Code,Disc %,Payment,Source,City,State,Warehouse,Del Date,Status,Return?,Reason,Ret Rec,Refund,order_week,Payment_Type
UT-100021,2024-10-05,CUST_10020,new,TOP-TUN-L,tops,tunic top,1699,1,1699,,0,upi,mobile app,bhopal,madhya pradesh,mumbai,2024-10-15,delivered,No,,,not applicable,40,prepaid
UT-100022,2024-10-05,CUST_10021,returning,DRS-SHT-XS,dresses,shirt dress,2399,1,2399,,0,credit card,website,nagpur,maharashtra,mumbai,2024-10-16,delivered,Yes,quality defect,2024-11-02,processed,40,prepaid
UT-100023,2024-10-05,CUST_10022,new,ACC-BLT-M,accessories,leather belt,899,1,899,FLAT10,10,debit card,mobile app,coimbatore,tamil nadu,bangalore,2024-10-17,delivered,No,,,not applicable,40,prepaid
UT-100024,2024-10-06,CUST_10023,new,BOT-SHT-M,bottoms,cotton shorts,1199,3,3597,,0,cod,instagram shop,kochi,kerala,bangalore,2024-10-18,delivered,Yes,changed mind,2024-11-05,processed,40,cod
UT-100025,2024-10-06,CUST_10024,new,TOP-PLO-L,tops,polo shirt,1799,2,3598,,0,upi,website,vizag,andhra pradesh,bangalore,2024-10-17,delivered,No,,,not applicable,40,prepaid
UT-100026,2024-10-06,CUST_10025,new,DRS-WRK-M,dresses,work dress,2699,1,2699,,0,credit card,mobile app,thiruvananthapuram,kerala,bangalore,2024-10-18,delivered,No,,,not applicable,40,prepaid
UT-100027,2024-10-06,CUST_10026,returning,OUT-TRN-L,outerwear,trench coat,4599,1,4599,FLAT10,10,debit card,website,mysore,karnataka,bangalore,2024-10-19,delivered,Yes,size issue,2024-11-08,processed,40,prepaid
UT-100028,2024-10-07,CUST_10027,new,ACC-HAT-OS,accessories,fedora hat,1099,1,1099,,0,upi,instagram shop,vadodara,gujarat,mumbai,2024-10-20,delivered,No,,,not applicable,41,prepaid
UT-100029,2024-10-07,CUST_10028,new,TOP-DNM-M,tops,denim shirt,1899,1,1899,,0,cod,mobile app,rajkot,gujarat,mumbai,,rto,No,,,not applicable,41,cod
UT-100030,2024-10-07,CUST_10029,new,BOT-CRG-L,bottoms,cargo pants,2199,1,2199,DIWALI20,20,credit card,website,kanpur,uttar pradesh,delhi,2024-10-20,delivered,No,,,not applicable,41,prepaid
UT-100031,2024-10-07,CUST_10030,returning,DRS-EVE-S,dresses,evening gown,5499,1,5499,,0,credit card,mobile app,mumbai,maharashtra,mumbai,2024-10-21,delivered,Yes,size issue,2024-11-10,processed,41,prepaid
UT-100032,2024-10-08,CUST_10031,new,TOP-BAS-M,tops,basic tank,899,2,1798,,0,upi,website,delhi,delhi,delhi,2024-10-14,delivered,No,,,not applicable,41,prepaid
UT-100033,2024-10-08,CUST_10032,new,OUT-WOL-L,outerwear,wool coat,6999,1,6999,FIRST15,15,debit card,instagram shop,kolkata,west bengal,delhi,2024-10-16,delivered,Yes,quality defect,2024-11-05,processed,41,prepaid
UT-100034,2024-10-08,CUST_10033,returning,ACC-WCH-OS,accessories,fashion watch,2999,1,2999,,0,credit card,mobile app,chennai,tamil nadu,bangalore,2024-10-15,delivered,No,,,not applicable,41,prepaid
UT-100035,2024-10-08,CUST_10034,new,BOT-DNM-S,bottoms,denim shorts,1599,1,1599,,0,cod,website,hyderabad,telangana,bangalore,2024-10-17,delivered,Yes,size issue,2024-11-08,processed,41,cod
UT-100036,2024-10-09,CUST_10035,new,DRS-SUN-M,dresses,sundress,1999,1,1999,DIWALI20,20,wallet,mobile app,pune,maharashtra,mumbai,2024-10-16,delivered,No,,,not applicable,41,prepaid
UT-100037,2024-10-09,CUST_10036,new,TOP-RFL-S,tops,ruffle top,1799,1,1799,,0,upi,instagram shop,ahmedabad,gujarat,mumbai,2024-10-17,delivered,Yes,changed mind,2024-11-12,processed,41,prepaid
UT-100038,2024-10-09,CUST_10037,returning,OUT-LTH-M,outerwear,leather jacket,7999,1,7999,,0,credit card,website,jaipur,rajasthan,delhi,2024-10-18,delivered,No,,,not applicable,41,prepaid
UT-100039,2024-10-09,CUST_10038,new,ACC-SNG-OS,accessories,sunglasses,1499,1,1499,FLAT10,10,debit card,mobile app,lucknow,uttar pradesh,delhi,2024-10-17,delivered,No,,,not applicable,41,prepaid
UT-100040,2024-10-10,CUST_10039,new,BOT-PLZ-L,bottoms,palazzo pants,1699,1,1699,,0,cod,website,bangalore,karnataka,bangalore,2024-10-19,delivered,Yes,size issue,2024-11-10,processed,41,cod
UT-100041,2024-10-10,CUST_10040,new,DRS-BDC-S,dresses,bodycon dress,2299,1,2299,,0,upi,instagram shop,mumbai,maharashtra,mumbai,2024-10-18,delivered,No,,,not applicable,41,prepaid
UT-100042,2024-10-10,CUST_10041,returning,TOP-OFF-M,tops,off-shoulder top,1599,2,3198,DIWALI20,20,credit card,mobile app,delhi,delhi,delhi,2024-10-17,delivered,Yes,wrong item,2024-11-08,processed,41,prepaid
UT-100043,2024-10-10,CUST_10042,new,OUT-DNM-L,outerwear,denim vest,2499,1,2499,,0,wallet,website,chandigarh,punjab,delhi,2024-10-20,delivered,No,,,not applicable,41,prepaid
UT-100044,2024-10-11,CUST_10043,new,ACC-HBG-OS,accessories,hobo bag,1899,1,1899,,0,debit card,instagram shop,noida,uttar pradesh,delhi,2024-10-21,delivered,Yes,damaged in transit,2024-11-12,processed,41,prepaid
UT-100045,2024-10-11,CUST_10044,new,BOT-CHP-M,bottoms,chino pants,1999,1,1999,FIRST15,15,upi,mobile app,gurgaon,haryana,delhi,2024-10-19,delivered,No,,,not applicable,41,prepaid
UT-100046,2024-10-11,CUST_10045,returning,DRS-WRP-M,dresses,wrap dress,2599,1,2599,,0,credit card,website,indore,madhya pradesh,mumbai,2024-10-20,delivered,No,,,not applicable,41,prepaid
UT-100047,2024-10-11,CUST_10046,new,TOP-STR-S,tops,striped tee,1299,1,1299,,0,cod,instagram shop,surat,gujarat,mumbai,,rto,No,,,not applicable,41,cod
UT-100048,2024-10-12,CUST_10047,new,OUT-PRK-XL,outerwear,parka jacket,5999,1,5999,DIWALI20,20,credit card,mobile app,patna,bihar,delhi,2024-10-22,delivered,Yes,size issue,2024-11-15,processed,41,prepaid
UT-100049,2024-10-12,CUST_10048,new,ACC-EAR-OS,accessories,hoop earrings,799,2,1598,,0,upi,website,bhopal,madhya pradesh,mumbai,2024-10-20,delivered,No,,,not applicable,41,prepaid
UT-100050,2024-10-12,CUST_10049,returning,BOT-LGN-S,bottoms,leggings,999,2,1998,,0,wallet,mobile app,nagpur,maharashtra,mumbai,2024-10-19,delivered,No,,,not applicable,41,prepaid
UT-100051,2024-10-12,CUST_10050,new,DRS-CTN-L,dresses,cotton dress,1899,1,1899,,0,debit card,instagram shop,coimbatore,tamil nadu,bangalore,2024-10-22,delivered,Yes,quality defect,2024-11-14,processed,41,prepaid
UT-100052,2024-10-13,CUST_10051,new,TOP-LCE-M,tops,lace top,1699,1,1699,FLAT10,10,credit card,website,kochi,kerala,bangalore,2024-10-21,delivered,No,,,not applicable,41,prepaid
UT-100053,2024-10-13,CUST_10052,new,OUT-BOM-M,outerwear,bomber jacket,3799,1,3799,,0,upi,mobile app,vizag,andhra pradesh,bangalore,2024-10-23,delivered,Yes,size issue,2024-11-18,processed,41,prepaid
UT-100054,2024-10-13,CUST_10053,returning,ACC-NCK-OS,accessories,pendant necklace,1299,1,1299,,0,cod,instagram shop,thiruvananthapuram,kerala,bangalore,2024-10-22,delivered,No,,,not applicable,41,cod
UT-100055,2024-10-13,CUST_10054,new,BOT-WID-M,bottoms,wide leg pants,2099,1,2099,DIWALI20,20,credit card,website,mysore,karnataka,bangalore,2024-10-24,delivered,No,,,not applicable,41,prepaid
UT-100056,2024-10-14,CUST_10055,new,DRS-TIR-S,dresses,tiered dress,2799,1,2799,,0,debit card,mobile app,vadodara,gujarat,mumbai,2024-10-23,delivered,Yes,changed mind,2024-11-16,processed,42,prepaid
UT-100057,2024-10-14,CUST_10056,new,TOP-PEP-M,tops,peplum top,1499,1,1499,,0,wallet,website,rajkot,gujarat,mumbai,2024-10-22,delivered,No,,,not applicable,42,prepaid
UT-100058,2024-10-14,CUST_10057,returning,OUT-QTD-L,outerwear,quilted jacket,4499,1,4499,FIRST15,15,upi,instagram shop,kanpur,uttar pradesh,delhi,2024-10-25,delivered,Yes,wrong item,2024-11-20,processed,42,prepaid
UT-100059,2024-10-14,CUST_10058,new,ACC-BRC-OS,accessories,charm bracelet,899,1,899,,0,credit card,mobile app,mumbai,maharashtra,mumbai,2024-10-23,delivered,No,,,not applicable,42,prepaid
UT-100060,2024-10-15,CUST_10059,new,BOT-CRP-S,bottoms,cropped pants,1799,1,1799,,0,cod,website,delhi,delhi,delhi,,rto,No,,,not applicable,42,cod
UT-100061,2024-10-15,CUST_10060,new,DRS-SLP-M,dresses,slip dress,2199,1,2199,DIWALI20,20,debit card,instagram shop,kolkata,west bengal,delhi,2024-10-26,delivered,Yes,size issue,2024-11-22,processed,42,prepaid
UT-100062,2024-10-15,CUST_10061,returning,TOP-HLT-L,tops,halter top,1399,1,1399,,0,upi,mobile app,chennai,tamil nadu,bangalore,2024-10-24,delivered,No,,,not applicable,42,prepaid
UT-100063,2024-10-15,CUST_10062,new,OUT-FLC-M,outerwear,fleece jacket,2999,1,2999,,0,credit card,website,hyderabad,telangana,bangalore,2024-10-27,delivered,Yes,quality defect,2024-11-24,processed,42,prepaid
UT-100064,2024-10-16,CUST_10063,new,ACC-RNG-OS,accessories,cocktail ring,699,2,1398,FLAT10,10,wallet,instagram shop,pune,maharashtra,mumbai,2024-10-25,delivered,No,,,not applicable,42,prepaid
UT-100065,2024-10-16,CUST_10064,new,BOT-SKN-M,bottoms,skinny jeans,2199,1,2199,,0,cod,mobile app,ahmedabad,gujarat,mumbai,2024-10-28,delivered,Yes,size issue,2024-11-25,processed,42,cod
UT-100066,2024-10-16,CUST_10065,returning,DRS-KNT-S,dresses,knit dress,2499,1,2499,,0,credit card,website,jaipur,rajasthan,delhi,2024-10-26,delivered,No,,,not applicable,42,prepaid
UT-100067,2024-10-16,CUST_10066,new,TOP-EMB-M,tops,embroidered top,1899,1,1899,DIWALI20,20,upi,instagram shop,lucknow,uttar pradesh,delhi,2024-10-27,delivered,Yes,changed mind,2024-11-20,processed,42,prepaid
UT-100068,2024-10-17,CUST_10067,new,OUT-SHR-L,outerwear,shrug,1299,1,1299,,0,debit card,mobile app,bangalore,karnataka,bangalore,2024-10-28,delivered,No,,,not applicable,42,prepaid
UT-100069,2024-10-17,CUST_10068,new,ACC-CLT-OS,accessories,clutch bag,1599,1,1599,,0,credit card,website,mumbai,maharashtra,mumbai,2024-10-27,delivered,Yes,damaged in transit,2024-11-22,processed,42,prepaid
UT-100070,2024-10-17,CUST_10069,returning,BOT-FLR-S,bottoms,flared jeans,2099,1,2099,FIRST15,15,upi,instagram shop,delhi,delhi,delhi,2024-10-29,delivered,No,,,not applicable,42,prepaid
UT-100071,2024-10-17,CUST_10070,new,DRS-PIN-M,dresses,pinafore dress,2299,1,2299,,0,cod,mobile app,chandigarh,punjab,delhi,,rto,No,,,not applicable,42,cod
UT-100072,2024-10-18,CUST_10071,new,TOP-CRW-L,tops,crew neck tee,1199,2,2398,,0,wallet,website,noida,uttar pradesh,delhi,2024-10-28,delivered,No,,,not applicable,42,prepaid
UT-100073,2024-10-18,CUST_10072,new,OUT-CDG-M,outerwear,cardigan,2599,1,2599,DIWALI20,20,credit card,instagram shop,gurgaon,haryana,delhi,2024-10-30,delivered,Yes,size issue,2024-11-26,processed,42,prepaid
UT-100074,2024-10-18,CUST_10073,returning,ACC-SCR-OS,accessories,hair scrunchie,299,5,1495,,0,upi,mobile app,indore,madhya pradesh,mumbai,2024-10-27,delivered,No,,,not applicable,42,prepaid
UT-100075,2024-10-18,CUST_10074,new,BOT-PPR-M,bottoms,paper bag pants,1899,1,1899,,0,debit card,website,surat,gujarat,mumbai,2024-10-30,delivered,Yes,wrong item,2024-11-28,processed,42,prepaid
UT-100076,2024-10-19,CUST_10075,new,DRS-SMK-S,dresses,smocked dress,2199,1,2199,,0,credit card,instagram shop,patna,bihar,delhi,2024-10-31,delivered,No,,,not applicable,42,prepaid
UT-100077,2024-10-19,CUST_10076,new,TOP-BTN-M,tops,button-down shirt,1799,1,1799,FLAT10,10,cod,mobile app,bhopal,madhya pradesh,mumbai,2024-10-29,delivered,Yes,quality defect,2024-11-25,processed,42,cod
UT-100078,2024-10-19,CUST_10077,returning,OUT-VLV-L,outerwear,velvet blazer,4999,1,4999,,0,upi,website,nagpur,maharashtra,mumbai,2024-11-01,delivered,No,,,not applicable,42,prepaid
UT-100079,2024-10-19,CUST_10078,new,ACC-TOT-OS,accessories,canvas tote,999,1,999,,0,wallet,instagram shop,coimbatore,tamil nadu,bangalore,2024-10-30,delivered,Yes,size issue,2024-11-28,processed,42,prepaid
UT-100080,2024-10-20,CUST_10079,new,BOT-CRG-S,bottoms,cargo shorts,1499,1,1499,DIWALI20,20,credit card,mobile app,kochi,kerala,bangalore,2024-10-31,delivered,No,,,not applicable,42,prepaid
UT-100081,2024-10-20,CUST_10080,new,DRS-BTR-M,dresses,butterfly dress,2899,1,2899,,0,debit card,website,vizag,andhra pradesh,bangalore,2024-11-02,delivered,Yes,changed mind,2024-11-30,processed,42,prepaid
UT-100082,2024-10-20,CUST_10081,returning,TOP-VNK-L,tops,v-neck tee,1099,2,2198,,0,upi,instagram shop,thiruvananthapuram,kerala,bangalore,2024-10-30,delivered,No,,,not applicable,42,prepaid
UT-100083,2024-10-20,CUST_10082,new,OUT-TRN-M,outerwear,trench coat,5499,1,5499,FIRST15,15,credit card,mobile app,mysore,karnataka,bangalore,2024-11-03,delivered,Yes,size issue,2024-12-01,processed,42,prepaid
UT-100084,2024-10-21,CUST_10083,new,ACC-BDY-OS,accessories,body chain,799,1,799,,0,cod,website,vadodara,gujarat,mumbai,,rto,No,,,not applicable,43,cod
UT-100085,2024-10-21,CUST_10084,new,BOT-JGR-L,bottoms,jogger pants,1599,1,1599,,0,wallet,instagram shop,rajkot,gujarat,mumbai,2024-11-02,delivered,No,,,not applicable,43,prepaid
UT-100086,2024-10-21,CUST_10085,returning,DRS-RFL-S,dresses,ruffle dress,2699,1,2699,DIWALI20,20,credit card,mobile app,kanpur,uttar pradesh,delhi,2024-11-01,delivered,Yes,quality defect,2024-11-30,processed,43,prepaid
UT-100087,2024-10-21,CUST_10086,new,TOP-SQR-M,tops,square neck top,1499,1,1499,,0,upi,website,mumbai,maharashtra,mumbai,2024-11-02,delivered,No,,,not applicable,43,prepaid
UT-100088,2024-10-22,CUST_10087,new,OUT-WND-L,outerwear,windbreaker,3299,1,3299,,0,debit card,instagram shop,delhi,delhi,delhi,2024-11-04,delivered,Yes,wrong item,2024-12-03,processed,43,prepaid
UT-100089,2024-10-22,CUST_10088,new,ACC-ANK-OS,accessories,anklet,499,2,998,FLAT10,10,credit card,mobile app,kolkata,west bengal,delhi,2024-11-01,delivered,No,,,not applicable,43,prepaid
UT-100090,2024-10-22,CUST_10089,returning,BOT-TRS-M,bottoms,tailored trousers,2399,1,2399,,0,upi,website,chennai,tamil nadu,bangalore,2024-11-03,delivered,No,,,not applicable,43,prepaid
UT-100091,2024-10-22,CUST_10090,new,DRS-LST-M,dresses,lace trim dress,2599,1,2599,,0,cod,instagram shop,hyderabad,telangana,bangalore,,rto,No,,,not applicable,43,cod
UT-100092,2024-10-23,CUST_10091,new,TOP-TIE-S,tops,tie-front top,1399,1,1399,DIWALI20,20,wallet,mobile app,pune,maharashtra,mumbai,2024-11-03,delivered,Yes,size issue,2024-12-02,processed,43,prepaid
UT-100093,2024-10-23,CUST_10092,new,OUT-PUF-M,outerwear,puffer jacket,4299,1,4299,,0,credit card,website,ahmedabad,gujarat,mumbai,2024-11-05,delivered,No,,,not applicable,43,prepaid
UT-100094,2024-10-23,CUST_10093,returning,ACC-HDR-OS,accessories,hairband,399,3,1197,,0,upi,instagram shop,jaipur,rajasthan,delhi,2024-11-02,delivered,No,,,not applicable,43,prepaid
UT-100095,2024-10-23,CUST_10094,new,BOT-PLT-L,bottoms,pleated trousers,2199,1,2199,FIRST15,15,debit card,mobile app,lucknow,uttar pradesh,delhi,2024-11-05,delivered,Yes,damaged in transit,2024-12-05,processed,43,prepaid
UT-100096,2024-10-24,CUST_10095,new,DRS-SHR-S,dresses,shirtdress,2399,1,2399,,0,credit card,website,bangalore,karnataka,bangalore,2024-11-04,delivered,No,,,not applicable,43,prepaid
UT-100097,2024-10-24,CUST_10096,new,TOP-GRF-M,tops,graphic tee,1299,1,1299,,0,cod,instagram shop,mumbai,maharashtra,mumbai,2024-11-06,delivered,Yes,changed mind,2024-12-05,processed,43,cod
UT-100098,2024-10-24,CUST_10097,returning,OUT-SHW-L,outerwear,shawl wrap,2799,1,2799,DIWALI20,20,upi,mobile app,delhi,delhi,delhi,2024-11-05,delivered,No,,,not applicable,43,prepaid
UT-100099,2024-10-24,CUST_10098,new,ACC-BLT-S,accessories,braided belt,699,1,699,,0,wallet,website,chandigarh,punjab,delhi,2024-11-04,delivered,No,,,not applicable,43,prepaid
UT-100100,2024-10-25,CUST_10099,new,BOT-CUT-M,bottoms,culottes,1699,1,1699,,0,debit card,instagram shop,noida,uttar pradesh,delhi,2024-11-07,delivered,Yes,size issue,2024-12-06,processed,43,prepaid
UT-100101,2024-10-25,CUST_10100,new,DRS-MXI-L,dresses,maxi dress,2799,1,2799,FLAT10,10,credit card,mobile app,gurgaon,haryana,delhi,2024-11-06,delivered,No,,,not applicable,43,prepaid
UT-100102,2024-10-25,CUST_10101,returning,TOP-SLV-S,tops,sleeveless top,1199,2,2398,,0,upi,website,indore,madhya pradesh,mumbai,2024-11-05,delivered,Yes,quality defect,2024-12-04,processed,43,prepaid
UT-100103,2024-10-25,CUST_10102,new,OUT-CPE-M,outerwear,cape coat,5999,1,5999,,0,credit card,instagram shop,surat,gujarat,mumbai,2024-11-08,delivered,No,,,not applicable,43,prepaid
UT-100104,2024-10-26,CUST_10103,new,ACC-SHD-OS,accessories,shoulder bag,1799,1,1799,DIWALI20,20,cod,mobile app,patna,bihar,delhi,,rto,No,,,not applicable,43,cod
UT-100105,2024-10-26,CUST_10104,new,BOT-STR-L,bottoms,straight pants,1999,1,1999,,0,wallet,website,bhopal,madhya pradesh,mumbai,2024-11-07,delivered,Yes,wrong item,2024-12-07,processed,43,prepaid
UT-100106,2024-10-26,CUST_10105,returning,DRS-FIT-S,dresses,fit & flare dress,2499,1,2499,,0,debit card,instagram shop,nagpur,maharashtra,mumbai,2024-11-08,delivered,No,,,not applicable,43,prepaid
UT-100107,2024-10-26,CUST_10106,new,TOP-CWL-M,tops,cowl neck top,1599,1,1599,FIRST15,15,upi,mobile app,coimbatore,tamil nadu,bangalore,2024-11-06,delivered,Yes,size issue,2024-12-05,processed,43,prepaid
UT-100108,2024-10-27,CUST_10107,new,OUT-BLR-L,outerwear,blazer,3999,1,3999,,0,credit card,website,kochi,kerala,bangalore,2024-11-09,delivered,No,,,not applicable,43,prepaid
UT-100109,2024-10-27,CUST_10108,new,ACC-CFF-OS,accessories,cuff bracelet,599,2,1198,,0,cod,instagram shop,vizag,andhra pradesh,bangalore,2024-11-07,delivered,Yes,damaged in transit,2024-12-06,processed,43,cod
UT-100110,2024-10-27,CUST_10109,returning,BOT-HRM-M,bottoms,harem pants,1799,1,1799,DIWALI20,20,upi,mobile app,thiruvananthapuram,kerala,bangalore,2024-11-08,delivered,No,,,not applicable,43,prepaid
UT-100111,2024-10-28,CUST_10110,new,DRS-FES-M,dresses,festive kurta set,3499,1,3499,DIWALI40,40,credit card,website,delhi,delhi,delhi,2024-11-02,delivered,Yes,size issue,2024-11-18,processed,44,prepaid
UT-100112,2024-10-28,CUST_10111,new,OUT-ETH-L,outerwear,embroidered jacket,5999,1,5999,DIWALI40,40,cod,mobile app,mumbai,maharashtra,mumbai,2024-11-03,delivered,Yes,wrong item,2024-11-20,processed,44,cod
UT-100113,2024-10-28,CUST_10112,new,TOP-FES-S,tops,festive blouse,2299,2,4598,DIWALI40,40,upi,instagram shop,jaipur,rajasthan,delhi,2024-11-04,delivered,Yes,size issue,2024-11-22,processed,44,prepaid
UT-100114,2024-10-28,CUST_10113,returning,ACC-CLT-OS,accessories,festive clutch,1599,1,1599,DIWALI40,40,credit card,website,lucknow,uttar pradesh,delhi,2024-11-03,delivered,No,,,not applicable,44,prepaid
UT-100115,2024-10-28,CUST_10114,new,BOT-ETH-M,bottoms,palazzo pants,1899,1,1899,DIWALI40,40,cod,mobile app,chennai,tamil nadu,bangalore,,rto,No,,,not applicable,44,cod
UT-100116,2024-10-29,CUST_10115,new,DRS-ANK-S,dresses,anarkali dress,4299,1,4299,DIWALI40,40,debit card,website,hyderabad,telangana,bangalore,2024-11-05,delivered,Yes,quality defect,2024-11-25,processed,44,prepaid
UT-100117,2024-10-29,CUST_10116,new,TOP-ETH-M,tops,embroidered kurti,2599,1,2599,DIWALI40,40,upi,instagram shop,pune,maharashtra,mumbai,2024-11-06,delivered,Yes,changed mind,2024-11-28,pending,44,prepaid
UT-100118,2024-10-29,CUST_10117,new,OUT-SHW-L,outerwear,pashmina shawl,3999,1,3999,DIWALI40,40,credit card,mobile app,amritsar,punjab,delhi,2024-11-07,delivered,Yes,size issue,2024-12-01,processed,44,prepaid
UT-100119,2024-10-29,CUST_10118,returning,DRS-LHG-M,dresses,lehenga set,8999,1,8999,DIWALI40,40,credit card,website,ahmedabad,gujarat,mumbai,2024-11-06,delivered,Yes,size issue,2024-12-02,processed,44,prepaid
UT-100120,2024-10-29,CUST_10119,new,ACC-STL-OS,accessories,statement necklace,1299,2,2598,DIWALI40,40,cod,instagram shop,kolkata,west bengal,delhi,2024-11-08,delivered,Yes,damaged in transit,2024-11-30,processed,44,cod
UT-100121,2024-10-29,CUST_10120,new,TOP-SQN-S,tops,sequin top,1999,1,1999,DIWALI40,40,upi,mobile app,bangalore,karnataka,bangalore,2024-11-07,delivered,Yes,quality defect,2024-12-03,processed,44,prepaid
UT-100122,2024-10-30,CUST_10121,new,BOT-LHG-S,bottoms,lehenga skirt,5499,1,5499,DIWALI40,40,wallet,website,surat,gujarat,mumbai,2024-11-08,delivered,Yes,size issue,2024-12-01,processed,44,prepaid
UT-100123,2024-10-30,CUST_10122,new,DRS-SAR-M,dresses,saree gown,6999,1,6999,DIWALI40,40,credit card,instagram shop,mumbai,maharashtra,mumbai,2024-11-09,delivered,Yes,size issue,2024-12-03,processed,44,prepaid
UT-100124,2024-10-30,CUST_10123,returning,OUT-BLS-M,outerwear,brocade blazer,4999,1,4999,DIWALI40,40,debit card,mobile app,delhi,delhi,delhi,2024-11-10,delivered,No,,,not applicable,44,prepaid
UT-100125,2024-10-30,CUST_10124,new,ACC-MNG-OS,accessories,maang tikka set,899,1,899,DIWALI40,40,upi,website,varanasi,uttar pradesh,delhi,2024-11-10,delivered,No,,,not applicable,44,prepaid
UT-100126,2024-10-30,CUST_10125,new,TOP-ZAR-L,tops,zardozi blouse,3299,1,3299,DIWALI40,40,cod,instagram shop,jaipur,rajasthan,delhi,2024-11-12,delivered,Yes,wrong item,2024-12-05,pending,44,cod
